UserId,ItemId
0,1020 845 706 1575 331 128 259 2173 1281 2351 2455 2537 465 1194 865 3158 307 1656 1861 2885 1307 275 2651 1812 745 2464 3142 1868 490 863 2086 637 697 2855 1268 422 2312 1474 122 167 2022 3041 719 1156 505 515 1530 976 1770 2940 
1,2463 2537 1784 865 428 1868 1200 3049 1222 2022 1023 783 1567 637 275 1455 1770 2472 988 2320 1800 584 862 2508 3147 2785 2883 471 3021 765 465 1013 2464 2971 2030 18 2937 2031 1443 590 1754 2726 338 719 3181 2940 2295 2470 2117 859 
2,115 465 1034 457 938 1505 2855 2320 3205 964 1973 1443 808 1200 1770 1964 1695 2350 1923 644 1567 296 954 1784 277 2198 2299 770 1573 346 2885 2022 1857 2750 68 2470 706 2222 2127 3037 1307 1297 186 2080 663 3052 842 100 471 299 
3,1386 2022 2464 517 1956 2885 465 2320 1193 2541 3209 1200 1443 2351 2726 2537 702 2470 2940 1348 1784 865 2312 1102 2012 1357 1197 2616 1465 609 275 1770 1800 521 380 1060 1575 3229 2652 945 3022 719 3078 1185 2750 2463 1023 770 427 2024 
4,676 1575 2474 2115 2306 1474 1325 714 1769 2415 275 2392 234 231 505 960 2525 1730 865 2845 655 3210 678 1304 310 1681 181 719 1755 2949 243 1203 981 1000 637 1125 757 1868 1985 288 613 3019 3156 1005 1317 3256 3176 2193 531 2537 
5,2371 589 331 988 25 745 1430 1120 1656 3052 2757 1505 1020 167 162 2979 1290 525 3041 770 845 299 1988 3205 2685 938 2922 2651 1846 186 490 2855 959 128 1281 2893 197 1715 2527 505 1501 1978 2455 1770 485 13 1969 486 2828 1357 
6,2320 2726 1784 100 2470 115 2551 1200 964 1239 2163 2875 2055 454 1567 465 2147 3049 2350 1770 517 48 1128 2885 1386 2472 1268 3014 1941 2022 2182 2883 1956 2696 2541 1213 346 2986 2652 3257 2937 2932 2217 1254 280 1443 2799 2111 2810 2398 
7,783 1575 1200 1770 899 2971 3124 981 2320 294 1377 1585 525 865 960 3092 2392 3040 2470 1868 275 1099 1784 637 1715 988 2537 2044 2845 3031 48 1106 3162 2474 1239 2117 1567 2661 2193 1474 2791 2726 371 490 1752 1207 397 885 719 811 
8,637 865 719 275 1575 2537 1868 1681 1455 1268 706 1861 1474 505 1185 2380 1200 2661 384 471 1213 1195 2971 1770 147 1784 3040 590 2726 3031 2217 3237 698 651 2805 1648 553 2455 2810 2182 1558 2862 3189 2320 294 2651 976 741 1353 2974 
9,1575 443 275 1597 856 637 842 2333 2099 706 865 1728 3164 2525 1871 234 170 1781 2455 1853 231 3186 471 655 2902 719 628 2460 1868 2070 1325 2117 372 2921 1069 1115 1474 2537 2115 458 1200 486 2521 2522 1455 1156 837 2812 1365 2669 
